Reaction	EC-Number	Object ID
cholest-4-en-3-one + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  (25S)-26-hydroxycholest-4-en-3-one + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O		RXN-12848
glycerophosphocholine acyltransferase	EC-2.3.1	RXN-15380
D-myo-inositol (2,4) bisphosphate + H2O  ->  1D-myo-inositol 2-monophosphate + phosphate	EC-3.1.3.62	RXN-7305
D-arabinitol + NAD+  <-->  D-ribulose + NADH + H+	EC-1.1.1.250	1.1.1.250-RXN
L-threo-3-phenylserine  <-->  glycine + benzaldehyde	EC-4.1.2.26	PHENYLSERINE-ALDOLASE-RXN
(2Z,4E)-2-hydroxyhexa-2,4-dienedioate  ->  4-oxalocrotonate	EC-5.3.2.M1	RXN-12354
a methyl-esterified homogalacturonan + n H2O  ->  a homogalacturonan + n methanol + n H+	EC-3.1.1.11	RXN-2102
1-(5-phospho-beta-D-ribosyl)-AMP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	EC-3.5.4.19	HISTCYCLOHYD-RXN
a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end + GTP + H2O  ->  a spliced tRNA + GMP + diphosphate + H+	EC-6.5.1.8	RXN-17942
L-ascorbate 6-phosphate + H2O  ->  3-dehydro-L-gulonate 6-phosphate	EC-3.1.1	RXN0-5214
4-O-methylrhodomycinone D + H2O  ->  10-carboxy-13-deoxydaunorubicin + methanol + H+	EC-3.1.1	RXN-14861
S-adenosyl-L-methionine + a bacteriochlorophyllide c + H2O  ->  a 71-hydroxybacteriochlorophyllide c + 5'-deoxyadenosine + L-methionine + H+		RXN-17454
(-)-medicarpin-3-O-glucoside-6''-malonate + H2O  ->  malonate + (-)-medicarpin-3-O-glucoside + H+		RXN-4206
UDP-alpha-D-glucose + isovitexin  ->  isovitexin 7-O-glucoside + UDP	EC-2.4.1	RXN-9715
S-adenosyl-L-methionine + uridine2552 in 23S rRNA  ->  a 2'-O-methyluridine2552 in 23S rRNA + S-adenosyl-L-homocysteine + H+	EC-2.1.1.166	RXN-11845
kanamycin A + NADP+  <-  2'-dehydrokanamycin A + NADPH + H+	EC-1.1.1.355	RXN-14402
a (2'R)-2'-hydroxy-phytoceramide + H2O  ->  a phytosphingosine + a (2R)-2-hydroxy even numbered straight chain 2,3,4-saturated fatty acid	EC-3.5.1.23	RXN-20504
acetyl-CoA + a mannosylerythritol lipid D  ->  a mannosylerythritol lipid B + coenzyme A	EC-2.3.1	RXN-23184
meso-diaminopimelate + NADP+ + H2O  <-->  L-alpha-amino-epsilon-keto-pimelate + ammonium + NADPH + H+	EC-1.4.1.16	DIAMINOPIMELATE-DEHYDROGENASE-RXN
16alpha, 17-epoxy gibberellin A9  ->  16, 17-dihydro-16alpha, 17-dihydroxy gibberellin A9		RXN-11393
arachidonate + dioxygen  ->  (5S)-HpETE	EC-1.13.11.34	ARACHIDONATE-5-LIPOXYGENASE-RXN
succinyl-CoA + (S)-citramalate  <-->  (3S)-citramalyl-CoA + succinate	EC-2.8.3.22	2.8.3.7-RXN
3-(hydroxymethyl)-5-methylphenol + NAD+  ->  3-hydroxy-5-methylbenzaldehyde + NADH + H+	EC-1.1.1.90	RXN-16954
CDP-3,6-dideoxy-D-glycero-4-hexulose + NAD(P)H + H+  ->  CDP-ascarylose + NAD(P)+	EC-1.1.1.M47	RXN-9161
ATP + an alpha,omega-dicarboxylate + coenzyme A  ->  an omega-carboxyacyl-CoA + AMP + diphosphate	EC-6.2.1.23	DICARBOXYLATE--COA-LIGASE-RXN
8-oxo-dGTP + H2O  ->  8-oxo-dGMP + diphosphate + H+	EC-3.6.1.55	RXN-11396
a medium-chain 2,3,4-saturated fatty acid + ATP + coenzyme A  ->  a medium-chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate	EC-6.2.1.2	RXN-19959
acetyl-CoA + a 2-arylethylamine  =  an N-acetyl-2-arylethylamine + coenzyme A + H+	EC-2.3.1.87	ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN
2,3-dihydroxyindole + dioxygen  ->  anthranilate + CO2 + H+	EC-1.13.11.23	23-DIHYDROXYINDOLE-23-DIOXYGENASE-RXN
HMOG transaminase	EC-2.6.1	RXN-16958
unknown isoflavone  ->  dalpatein 7-O-beta-D-apiofuranosyl-(1->6)-beta-D-glucopyranoside		RXN-9164
S-adenosyl-L-methionine + syringetin  ->  7,3',5'-trimethylmyricetin + S-adenosyl-L-homocysteine	EC-2.1.1	RXN-13919
2 a [DsrE3A thiosulfate-carrier protein]-L-cysteine + tetrathionate + an oxidized electron carrier  ->  2 a [DsrE3A thiosulfate-carrier protein]-L-cysteine-S-thiosulfonate + a reduced two electron carrier	EC-2.8.1	RXN-16432
inosine + guanine  <-->  guanosine + hypoxanthine	EC-2.4.2.5	RXN-22626
2,3,5,6-tetracholorophenol + NADPH + dioxygen  ->  2,3,5,6-tetrachlorohydroquinone + NADP+ + H2O	EC-1.14.13.50	RXN-8670
2-deoxy-5-keto-dihydrostreptosyl-K252c + an oxidized electron carrier  ->  K252b + a reduced two electron carrier		RXN-10927
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA + H2O  ->  (5Z,8Z,11Z,14Z,17Z)-icosapentaenoate + coenzyme A + H+	EC-3.1.2.2	RXN-13430
2-deoxy-D-ribose 5-phosphate + H2O  ->  2-deoxy-D-ribose + phosphate	EC-3.1.3	RXN-19383
(2S)-2,3-dihydroxypropane-1-sulfonate  ->  3-oxopropane-1-sulfonate + H2O	EC-4.2.1.177	RXN-22109
a formylmethanofuran + tetrahydromethanopterin + H+  <-->  a methanofuran + 5-formyl-tetrahydromethanopterin	EC-2.3.1.101	2.3.1.101-RXN
cis-4-hydroxy-L-proline + NAD+  <-->  4-oxo-L-proline + NADH + H+	EC-1.1.1.104	4-OXOPROLINE-REDUCTASE-RXN
4-methylmuconolactone  <-->  3-methyl-cis,cis-muconate + H+	EC-5.5.1.7	RXN-10081
Man7(GlcNAc)2-protein (isomer 7A1,2,3B1) + H2O  ->  Man6(GlcNAc)2-[protein] (isomer 6A1,2B1) + beta-D-mannopyranose	EC-3.2.1.113	RXN-18927
UDP-alpha-D-glucose + (Z)-omega-(methylsulfanyl)octyl-thiohydroximate  ->  7-(methylsulfanyl)heptyl-desulfoglucosinolate + UDP + H+	EC-2.4.1.195	RXNQT-4327
trans-4-hydroxy-L-proline betaine  <-->  cis-4-hydroxy-D-proline betaine	EC-5.1.1.22	RXN-15948
beta-carotene + 2 an oxidized electron carrier  ->  3,4,3',4'-tetradehydro-beta,beta-carotene + 2 a reduced two electron carrier		RXN-8194
2-carboxy-L-lyxonolactone + H2O  ->  2-carboxy-L-lyxonate + H+		RXN-12871
S-adenosyl-L-methionine + 8-demethyl-8-alpha-L-rhamnosyl-tetracenomycin C  ->  8-demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)-tetracenomycin C + S-adenosyl-L-homocysteine + H+	EC-2.1.1.305	RXN-15405
(4S,8R)-2,19-dihydroxy-7,9-dioxapentacyclo[10.8.0.03,10.04,8.04,19]icosa-1,3(10),5,11,14,16-hexaene-13,18,20-trione + NADPH + dioxygen + H+  ->  (4S,8R)-2,20-dihydroxy-7,9,13-trioxapentacyclo[10.9.0.03,10.04,8.015,20]henicosa-1,3(10),5,11,15,17-hexaene-14,19,21-trione + NADP+ + H2O		RXN-21574
1,3,5-trihydroxyxanthone + NADPH + H+ + dioxygen  ->  1,3,5,8-tetrahydroxyxanthone + NADP+ + H2O		RXN-7486
3beta-hydroxy-5beta-pregnane-20-one + NADP+  <-->  5beta-pregnan-3,20 dione + NADPH + H+	EC-1.1.1.277	1.1.1.277-RXN
3'-phosphoadenylyl-sulfate + H2O  ->  adenosine 3',5'-bisphosphate + sulfate + 2 H+	EC-3.6.2.2	PHOSPHOADENYLYLSULFATASE-RXN
S-adenosyl-L-methionine + an N2 dimethylguanine26/guanine27 in tRNA  ->  an N2-dimethylguanine26/N2-methylguanine27 + S-adenosyl-L-homocysteine + H+	EC-2.1.1.215	RXN-12380
(R)-2-hydroxyglutarate + pyruvate  <-->  2-oxoglutarate + (R)-lactate	EC-1.1.99.40	RXN-18432
S-adenosyl-L-methionine + 3,3'-di-O-methyl-4alpha-mannobiose  ->  1,3,3'-tri-O-methyl-4alpha-mannobiose + S-adenosyl-L-homocysteine + H+	EC-2.1.1.365	RXN-21046
hyaluronan  ->  N 3-(4-deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine	EC-4.2.2.1	HYALURONATE-LYASE-RXN
11a-hydroxytetracycline  <-->  11a-hydroxytetracycline-6,12-hemiketal		RXN-17968
4,6-pyr-alpha-D-Gal-(1->4)-beta-D-GlcA-(1->3)-2-O-Ac-alpha-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und[periplasm] + lipid A-core oligosaccharide (E. coli K-12 core type)[periplasm]  ->  E. coli MLPS[periplasm] + di-trans,octa-cis-undecaprenyl diphosphate[periplasm] + H+[periplasm]		RXN0-5294
aldehydo-D-ribose  <-->  D-ribopyranose		RXN-14883
S-adenosyl-L-methionine + lathosterol  ->  4alpha-methyl-5alpha-cholest-7-en-3beta-ol + S-adenosyl-L-homocysteine + H+		RXN-4287
dimethyl sulfide + NADH + dioxygen + H+  ->  methanethiol + formaldehyde + NAD+ + H2O	EC-1.14.13.131	RXN-9740
31-norcycloartenol  ->  4alpha,14alpha-dimethyl-5alpha-cholesta-8,24-dien-3beta-ol	EC-5.5.1.9	RXN-11876
luteoforol oxygenase	EC-1.14.20	RXN-14423
a 1-acyl-2-arachidonoyl-sn-glycero-3-phospho-D-myo-inositol 4,5-bisphosphate + H2O  ->  an 1-acyl-2-arachidonoyl-sn-glycerol + D-myo-inositol (1,4,5)-trisphosphate + H+	EC-3.1.4.11	RXN-20523
benzene + an oxidized electron carrier + H2O  ->  phenol + a reduced two electron carrier		RXN-23213
L-glutamate + 7,8-dihydropteroate + ATP  ->  ADP + 7,8-dihydrofolate monoglutamate + phosphate + H+	EC-6.3.2.12	DIHYDROFOLATESYNTH-RXN
(E)-(indol-3-yl)acetaldehyde oxime + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  1-(1H-indol-3-yl)-2-aci-nitroethane + an oxidized [NADPH-hemoprotein reductase] + H2O		RXN-11413
S-adenosyl-L-methionine + 4,5-secobiotin  ->  biotin + 5'-deoxyadenosine + L-methionine + H+		RXN-17473
intermediate IV  ->  akuammicine + formate + H+		RXN-19980
an aromatic primary alcohol + NAD+  ->  an aromatic aldehyde + NADH + H+	EC-1.1.1.90	ARYL-ALCOHOL-DEHYDROGENASE-RXN
3-dehydroquinate  <-->  3-dehydroshikimate + H2O	EC-4.2.1.10	3-DEHYDROQUINATE-DEHYDRATASE-RXN
cyclopenin dioxygenase		RXN-16977
hemigossypol-6-methyl ether  ->  hemigossypolone-6-methyl ether		RXN-9181
S-adenosyl-L-methionine + kaempferide  ->  7,4'-dimethylkaempferol + S-adenosyl-L-homocysteine	EC-2.1.1	RXN-13936
MoO2-molybdopterin cofactor + molybdopterin + H+  ->  bis(molybdenum cofactor) + H2O		RXN-16457
N-acetyl-L-cysteine + H2O  ->  L-cysteine + acetate	EC-3.5.1	RXN-22642
D-myo-inositol (1,4,5,6)-tetrakisphosphate + H2O  ->  D-myo-inositol (1,4,5)-trisphosphate + phosphate	EC-3.1.3	RXN-10946
UDP-alpha-D-glucose + daphnetin  ->  UDP + 3-O-beta-D-glucosyl-daphnetin + H+	EC-2.4.1.91	RXN-13452
CDP-ribitol + a 3-O-[N-acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-6-phospho-alpha-D-mannosyl)]-Ser/Thr-[protein]  ->  CMP + a 3-O-[Rbo5P-3-betaGalNAc-(1->3)-betaGlucNAc-(1->4)-(P6)-O-alphaMan]-Ser/Thr-[protein] + H+	EC-2.7.8	RXN-19400
UDP-alpha-D-glucose + beta-D-Gal-(1->3)-alpha-D-GalNAc-PP-Und  ->  UDP + alpha-D-Glcl-(1->4)-beta-D-Gal-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol + H+	EC-2.4.1	RXN-22130
putrescine + (E)-caffeoyl-CoA  =  N-caffeoylputrescine + coenzyme A + H+	EC-2.3.1.138	2.3.1.138-RXN
D-dopachrome + H+  ->  5,6-dihydroxyindole + CO2	EC-4.1.1.84	4.1.1.84-RXN
3,4-dichloro-6-methylcatechol + dioxygen  ->  2,3-dichloro-5-methyl-muconate + 2 H+		RXN-10098
ent-cassa-12,15-dien-2beta-ol + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-cassa-12,15-dien-2beta,3beta-diol + an oxidized [NADPH-hemoprotein reductase] + H2O		RXN-18945
6-(methylsulfanyl)-2-oxohexanoate + a proteinogenic amino acid  <-->  L-dihomomethionine + a 2-oxo carboxylate	EC-2.6.1	RXNQT-4345
terpendole J + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  terpendole C + an oxidized [NADPH-hemoprotein reductase] + 2 H2O	EC-1.14.19	RXN-15965
S-adenosyl-L-methionine + 17-O-acetylnorajmaline  ->  17-O-acetylajmaline + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-8219
[(3S,4R)-4-(octanoyl)-5-oxooxolan-3-yl]methyl phosphate + H2O  ->  6-dehydro-SCB2 + phosphate	EC-3.1.3	RXN1UA-61
(S)-benzoin + NADP+  =  benzil + NADPH + H+	EC-1.1.1.320	RXN-12898
geranyl diphosphate + 2-O,3-dimethylflaviolin  =  7-O-geranyl-2-O,3-dimethylflaviolin + diphosphate	EC-2.5.1.125	RXN-15425
(+)-catechin + an oxidized electron carrier + H2O  ->  a (2R,3S)-leucocyanidin + a reduced two electron carrier		RXN-21598
4-coumaroyltriacetate  ->  4-coumaroyltriacetate lactone + H2O		RXN-7578
D-glycerate + CO2 + NAD(P)+  =  2-hydroxy-3-oxosuccinate + NAD(P)H + 2 H+	EC-1.1.1.92	1.1.1.92-RXN
phytanate + ATP + coenzyme A  ->  phytanoyl-CoA + AMP + diphosphate	EC-6.2.1.24	PHYTANATE--COA-LIGASE-RXN
prenyl diphosphate + deoxyadlupulone  ->  adlupulone + diphosphate	EC-2.5.1.137	RXN-18450
a lysophospholipid[periplasm] + H2O[periplasm]  ->  a carboxylate[periplasm] + a glycerophosphodiester[periplasm] + H+[periplasm]	EC-3.1.1.5	RXN-21069
5-hydroxy-L-lysine + GTP  =  (5R)-5-phosphooxy-L-lysine + GDP + H+	EC-2.7.1.81	HYDROXYLYSINE-KINASE-RXN
ATP + D-ribose 5-phosphate + H+  <-  ADP-D-ribose + diphosphate	EC-2.7.7.96	RXN-17997
nigerose + H2O  ->  2 D-glucopyranose	EC-3.2.1	RXN0-5395
6-carboxydemethylmenaquinol-6 + H+  ->  CO2 + demethylmenaquinol-6	EC-4.1.1.M24	RXN-14909
N6-dimethylallyladenine + an oxidized electron carrier + H2O  ->  trans-zeatin + a reduced two electron carrier		RXN-4317
S-methyl-L-methionine + H+  ->  (3-aminopropyl)dimethylsulfanium + CO2	EC-4.1.1.M23	RXN-9756
trans-resveratrol + dioxygen  ->  3,4-dihydroxybenzaldehyde + 4-hydroxybenzaldehyde	EC-1.13.11	RXN-11899
pelargonidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase	EC-2.4.1.300	RXN-14440
a phosphatidate + H2O  ->  a 1-lysophosphatidate + a fatty acid + H+	EC-3.1.1.118	RXN-20541
S-adenosyl-L-methionine + dTDP-4-amino-4-deoxy-3-methyl-beta-L-rhamnose  ->  dTDP-sibirosamine + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-23240
Nomega,Nomega-dimethyl-L-arginine + H2O  ->  dimethylamine + L-citrulline	EC-3.5.3.18	DIMETHYLARGININASE-RXN
(Z)-1-(glutathion-S-yl)-N-hydroxy-2-phenylethan-1-imine + H2O  ->  (Z)-1-(L-cysteinyglycin-S-yl)-N-hydroxy-2-phenylethan-1-imine + L-glutamate	EC-3.4.19.16	RXN-11428
S-adenosyl-L-methionine + 3-hydroxy-L-kynurenine  ->  S-adenosyl-L-homocysteine + 3-hydroxy-4-methyl-L-kynurenine + H+	EC-2.1.1.M26	RXN-17499
ascorbate phosphorylation	EC-2.7.1	ASCORBATE-PHOSPHORYLATION-RXN
(2R,3S)-3-isopropylmalate + NAD+  ->  (2S)-2-isopropyl-3-oxosuccinate + NADH + H+		3-ISOPROPYLMALDEHYDROG-RXN
4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoyl-CoA  ->  4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoate methyl ester + coenzyme A		RXN-9197
kaempferol 3-(6"-<i>O</i>-<i>p</i>-coumaroyl)-glucoside 3"-coumaroyltransferase	EC-2.3.1	RXN-13952
GDP-alpha-D-mannose + Man10GlcNAc2-[protein]  (isomer 10A1,2,3,4B1,3,4)  ->  Man11GlcNAc2-[protein]  (isomer 11A1,2,3,4B1,3,4C3) + GDP + H+	EC-2.4.1	RXN-22686
1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate + H2O  ->  phytate + phosphate + H+	EC-3.6.1.52	RXN-10964
hydroxycinnamte-4-&beta;-glucosyltransferase	EC-2.4.1.126	RXN-13471
acetaminophen + H2O  ->  4-aminophenol + acetate + H+	EC-3.5.1	RXN-19419
UDP-alpha-D-galactose + alpha-D-Glu-(1->4)-alpha-L-Rha-(1->3)-alpha-D-Gal-PP-Und  ->  alpha-D-Gal-(1->6)-alpha-D-Glu-(1->4)-alpha-L-Rha-(1->3)-alpha-D-Gal-PP-Und + UDP + H+	EC-2.4.1	RXN-22151
taxa-4(20),11-dien-5alpha-ol + acetyl-CoA  <-->  taxa-4(20),11-dien-5-alpha-yl acetate + coenzyme A	EC-2.3.1.162	2.3.1.162-RXN
N-cyclohexylformamide  <-  cyclohexyl-isocyanide + H2O	EC-4.2.1.103	4.2.1.103-RXN
3-chlorophenol + chloride + an oxidized electron carrier + H+  <-  2,3-dichlorophenol + a reduced two electron carrier	EC-1.21.99.M3	RXN-10115
13-deoxycarminomycin + NADPH + H+ + dioxygen  ->  13-dihydrocarminomycin + NADP+ + H2O	EC-1.14.13.181	RXN-16478
echinenone + a reduced two electron carrier + dioxygen  ->  4'-hydroxyechinenone + an oxidized electron carrier + H2O		RXN-18964
(glutathion-S-yl)-4-methoxy-3-indolylmethylisothiocyanate + 2 H2O  ->  4-methoxy-3-indolylmethylamine + raphanusamate + L-glutamate + glycine		RXNQT-4362
(3Z)-phycoerythrobilin  ->  (3E)-phycoerythrobilin	EC-5.2.1	RXN-15985
S-adenosyl-L-methionine + bixin  ->  bixin dimethyl ester + S-adenosyl-L-homocysteine	EC-2.1.1	RXN-8239
CMP-3-deoxy-beta-D-manno-octulosonate + lipid IVA (Brucella)  ->  alpha-Kdo-(2->6)-lipid IVA (Brucella) + CMP + H+	EC-2.4.99.12	RXN2B4Q-54
oleandomycin glucosyltranferase	EC-2.4.1	RXN-12919
ent-cassa-12,15-dien-3beta-ol + 2 a reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  ent-3beta-hydroxy-cassa-12,15-diene-11-one + 2 an oxidized [NADPH-hemoprotein reductase] + 3 H2O	EC-1.14.14	RXN-15445
(7R,11S,16S)-7-hydroxy-ent-kauran-11,16-epoxy-19-oyl-CoA + an oxidized electron carrier  ->  (4S)-homoplatensicyl-CoA + a reduced two electron carrier		RXN-21738
S-adenosyl-L-methionine + paraxanthine  ->  caffeine + S-adenosyl-L-homocysteine + H+	EC-2.1.1.160	RXN-7601
keto-D-fructose + D-glucopyranose  ->  D-glucono-1,5-lactone + D-sorbitol	EC-1.1.99.28	1.1.99.28-RXN
polyvinyl alcohol(n) + 2 dioxygen  ->  oxidized polyvinyl alcohol(n) + 2 hydrogen peroxide	EC-1.1.3.30	POLYVINYL-ALCOHOL-OXIDASE-RXN
(+)-7-epi-jasmonoyl-L-isoleucine + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.48	RXN-12421
S-adenosyl-L-methionine + xanthohumol  ->  S-adenosyl-L-homocysteine + 2',4-dihydroxy-4',6'-dimethoxy-3'-prenylchalcone	EC-2.1.1	RXN-18476
L-lactyl-2-diphospho-5'-guanosine + 7,8-didemethyl-8-hydroxy-5-deazariboflavin  ->  GMP + oxidized factor 420-0 + H+	EC-2.7.8.28	RXN-21089
hypotaurine + NADPH + dioxygen + H+  ->  taurine + NADP+ + H2O	EC-1.14.13.8	HYPOTAURINE-DEHYDROGENASE-RXN
2-O-D-alanyl-1-O-phosphatidylglycerol + (2-Glc-Rib-ol)n-Rib-ol-P-Gro-P-ManNAc-GlcNAc-PP-undecaprenol  ->  a phosphatidylglycerol + polyisoprenyl-wall teichoic acid (B. subtilis W23)	EC-2.3.1.M32	RXN-18018
L-lysine + (8S)-8-amino-7-oxononanoate  <-->  (S)-2-amino-6-oxohexanoate + (7R,8S)-diaminononanoate	EC-2.6.1.105	RXN-14930
(6aR,11aR)-3,9-dihydroxypterocarpan + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-glycinol + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.93	RXN-4505
a D-5-monosubstituted hydantoin  <-->  an L-5-monosubstituted hydantoin	EC-5.1.99.5	RXN-9781
7-methyl-3-oxo-6-octenoyl-CoA:acetyl-CoA C-acyltransferase	EC-2.3.1	RXN-11917
O-ureido-D-serine + ATP + H+ + H2O  ->  D-cycloserine + CO2 + ammonium + ADP + phosphate	EC-6.3.3.5	RXN-14460
an N-acylphosphatidylethanolamine + H2O  ->  an N-acyl-2-lysophosphatidylethanolamine + a fatty acid + H+	EC-3.1.1.4	RXN-20558
3''-dehydropuerarin  ->  (2R,3R)-3,5-dihydroxy-2-(hydroxymethyl)-2,3-dihydropyran-4-one + daidzein	EC-4.1.99	RXN-23264
S-adenosyl-L-methionine + a cytosine in DNA  ->  a 5-methylcytosine in DNA + S-adenosyl-L-homocysteine + H+	EC-2.1.1.37	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-omega-(methylsulfanyl)octan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)octyl-thiohydroximate + L-seryl-glycine	EC-4.4.1.M2	RXN-11442
Fe-coproporphyrin III + 2 H+  <-  coproporphyrin III + Fe2+	EC-4.99.1.9	RXN-17518
(S)-3-hydroxy-3-phenylpropanoyl-CoA  <-->  trans-cinnamoyl-CoA + H2O	EC-4.2.1.17	RXN-2002
L-aspartate + carbamoyl phosphate  <-->  N-carbamoyl-L-aspartate + phosphate + H+	EC-2.1.3.2	ASPCARBTRANS-RXN
3-sulfino-L-alanine + 2-oxoglutarate  <-->  3-sulfinopyruvate + L-glutamate	EC-2.6.1	3-SULFINOALANINE-AMINOTRANSFERASE-RXN
12,13-epoxi-9,10-trichoene-2-ol 11-hydroxylase	EC-1.14.14	RXN-17031
cinchonidinone  =  cinchoninone		RXN-9213
cyanidin-3-O-beta-D-glucoside + 1-O-vanilloyl-beta-D-glucose  ->  cyanidin 3,7-di-O-beta-D-glucoside + vanillate	EC-2.4.1.300	RXN-13969
glycine betaine + NADH + dioxygen + H+  ->  N,N-dimethylglycine + formaldehyde + NAD+ + H2O	EC-1.14.13.251	RXN-22705
1,2,3,4,6-pentagalloylglucose + 1-O-galloyl-beta-D-glucose  ->  3-O-digalloyl-1,2,4,6-tetra-O-beta-D-galloylglucose + D-glucopyranose	EC-2.3.1	RXN-8722
1D-myo-inositol 3-monophosphate + ATP  ->  D-myo-inositol (3,6)-bisphosphate + ADP + H+		RXN-10982
(9Z)-traumatin  ->  traumatin		RXN-1349
formyl-CoA + succinate  <-->  formate + succinyl-CoA	EC-2.8.3.16	RXN-19490
UDP-alpha-D-galactose + galactosyl-(1->6)-glucosyl-(1->3)-(heptosyl)3-Kdo2-lipid A-bisphosphate (E. coli)  ->  galactosyl-(1->3)-[galactosyl-(1->6)]-glucosyl-(1->3)-(heptosyl)3-Kdo2-lipid A-bisphosphate + UDP + H+	EC-2.4.1.44	RXN-22172
N-hydroxy-4-acetylaminobiphenyl + N-hydroxy-4-aminobiphenyl  =  N-hydroxy-4-aminobiphenyl + N-acetoxy-4-aminobiphenyl	EC-2.3.1.56	2.3.1.56-RXN
a [1-beta-D-fructofuranosyl-(2->1)n--alpha-D-glucopyranoside  ->  a [1-beta-D-fructofuranosyl-(2->1)n-1--alpha-D-glucopyranoside + difructose anhydride I	EC-4.2.2.17	4.2.2.17-RXN
2,4,5-trichloro-phenoxyacetate + NADH + dioxygen  ->  2,4,5-trichlorophenol + glyoxylate + NAD+ + H2O		RXN-10133
2-(4-hydroxybenzyl)-malate  ->  3-(4-hydroxybenzyl)-malate	EC-5.4.4	RXN-16494
all-trans-heptaprenyl diphosphate  ->  beta-heptaprene + diphosphate	EC-4.2.3.188	RXN-18980
ATP + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + L-aspartate  ->  ADP + 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole + phosphate + H+	EC-6.3.2.6	SAICARSYN-RXN
beta-1,4-D-mannopyranosyl-beta-1,4-N-acetyl-D-glucosaminyl-beta-1,4-N-acetyl-D-glucosamine + phosphate  <-->  N,N'-diacetylchitobiose + alpha-D-mannose 1-phosphate	EC-2.4.1	RXN-16018
UDP-alpha-D-glucose + kaempferol 3-O-beta-D-glucoside  ->  kaempferol 3,7-bis-O-beta-D-glucoside + UDP	EC-2.4.1	RXN-8270
UDP-alpha-D-glucose + beta-D-Gal-(1->7)-alpha-D,D-Hep-(1->2)-alpha-L,D-Hep-(1->3)-alpha-L,D-Hep-(1->5)-tetra-acylated lipid A (H. pylori)  ->  H. pylori core oligosaccharide-lipid A + UDP + H+	EC-2.4.1	RXN2DNV-17
S-adenosyl-L-methionine + dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose  ->  S-adenosyl-L-homocysteine + dTDP-4-dehydro-3-C-methyl-2,6-dideoxy-beta-L-allose + H+	EC-2.1.1	RXN-12941
a (3S)-3-hydroxy-2-methylacyl-CoA + NAD+  ->  a 2-methyl-3-oxoacyl-CoA + NADH + H+	EC-1.1.1.178	RXN-21756
caffeoyl-4'-hydroxyphenyllactate + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (R)-rosmarinate + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14	RXN-7629
2,4'-dihydroxyacetophenone + dioxygen  ->  formate + 4-hydroxybenzoate + 2 H+	EC-1.13.11.41	1.13.11.41-RXN
a [procollagen]-L-proline + 2-oxoglutarate + dioxygen  ->  a [procollagen]-trans-3-hydroxy-L-proline + succinate + CO2	EC-1.14.11.7	PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN
geranyl diphosphate + umbelliferone  ->  8-geranylumbelliferone + diphosphate	EC-2.5.1.138	RXN-18495
(1R,2S)-ephedrine + NAD+  <-  (S)-N-methylcathinone + NADH + H+	EC-1.1.1.423	RXN-21134
(indol-3-yl)acetate + L-lysine + ATP  ->  N6-[(Indole-3-yl)acetyl]-L-lysine + ADP + phosphate + H+	EC-6.3.2.20	INDOLEACETATE--LYSINE-LIGASE-RXN
oryzalexin A/C synthase	EC-1.1.1	RXN-15465
