"EC","EC2","ec"
"RXN-18166","RXN-18166","1.14.14"
"RXN-12575","RXN-12575","3.1.1.1"
"RXN-15074","RXN-15074","2.3.3.19"
"METHYLCROTONYL-COA-CARBOXYLASE-RXN","METHYLCROTONYL-COA-CARBOXYLASE","6.4.1.4"
"RXN-12074","RXN-12074","4.1.3.17"
"GALACTOACETYLTRAN-RXN","GALACTOACETYLTRAN","2.3.1.18"
"RXN-20175","RXN-20175","4.1.1.116"
"CETRAXATE-BENZYLESTERASE-RXN","CETRAXATE-BENZYLESTERASE","3.1.1.70"
"3.12.1.1-RXN","3.12.1.1","3.12.1.1"
"RXN-17176","RXN-17176","2.3.1.279"
"RXN-9388","RXN-9388","1.3"
"RXN-11588","RXN-11588","2.1.1.185"
"RXN-14112","RXN-14112","3.1.4.16"
"RXN-886","RXN-886","1.14.11"
"RXN-22308","RXN-22308","2.4.1"
"2.4.1.26-RXN","2.4.1.26","2.4.1.26"
"6.3.2.26-RXN","6.3.2.26","6.3.2.26"
"RXN-19120","RXN-19120","1.14.19.M18"
"TEICHOICSYN2-RXN","TEICHOICSYN2","2.4.1.187"
"RXN-13641","RXN-13641","5.2.1.14"
"RXN-16145","RXN-16145","2.1.1"
"RXN-8419","RXN-8419","4.2.3"
"RXN66-161","RXN66-161","1.14.14.1"
"RXN-10643","RXN-10643","4.2.1.131"
"RXN-13103","RXN-13103","1.1.1"
"RXN-7811","RXN-7811","2.5.1.136"
"1.2.99.7-RXN","1.2.99.7","1.2.99.7"
"R181-RXN","R181","3.7.1.19"
"RXN-18655","RXN-18655","3.1.3"
"LEVANSUCRASE-RXN","LEVANSUCRASE","2.4.1.10"
"RXN0-7165","RXN0-7165","2.3.1.57"
"RXN-15102","RXN-15102","2.4.1.277"
"RXN-5462","RXN-5462","2.4.1.132"
"RXN-9957","RXN-9957","1.14.13.69"
"MHPELY-RXN","MHPELY","4.1.3.39"
"RXN-12098","RXN-12098","3.1.1.86"
"RXN-20713","RXN-20713","6.3.2.34"
"GALACTURONOKINASE-RXN","GALACTURONOKINASE","2.7.1.44"
"RXN-17672","RXN-17672","1.1.1"
"RXN-20194","RXN-20194","2.6.1"
"CHOLATE--COA-LIGASE-RXN","CHOLATE--COA-LIGASE","6.2.1.7"
"3.2.1.121-RXN","3.2.1.121","3.2.1.121"
"RXN-14634","RXN-14634","3.2.1.186"
"RXN-172","RXN-172","1.14.20"
"RXN-9407","RXN-9407","1.14.13.107"
"RXN-11609","RXN-11609","6.3.2"
"RXN-14131","RXN-14131","1.3.8.8"
"RXN-22877","RXN-22877","5.3.1.M5"
"RXN-19670","RXN-19670","3.7.1"
"2.4.1.54-RXN","2.4.1.54","2.4.1.54"
"ACECOATRANS-RXN","ACECOATRANS","2.8.3.8"
"RXN-16681","RXN-16681","1.14.13"
"RXN-19140","RXN-19140","2.3.1.M48"
"THIAMIN-PYROPHOSPHOKINASE-RXN","THIAMIN-PYROPHOSPHOKINASE","2.7.6.2"
"RXN-16161","RXN-16161","5.1.3"
"RXN-13124","RXN-13124","2.4.1.301"
"RXN-21905","RXN-21905","2.4.1"
"RXN-7836","RXN-7836","5.3.3.8"
"1.3.1.56-RXN","1.3.1.56","1.3.1.56"
"R218-RXN","R218","1.1.1"
"RXN-18672","RXN-18672","2.3.1.84"
"LINOLENOYL-RXN","LINOLENOYL","6.2.1.3"
"RXN-15652","RXN-15652","2.3.1"
"RXN-12618","RXN-12618","3.4.19.13"
"RXN-15120","RXN-15120","2.1.1.299"
"RXN-5643","RXN-5643","2.1.1.103"
"RXN-9989","RXN-9989","3.1.3.29"
"MYO-INOSITOL-1-KINASE-RXN","MYO-INOSITOL-1-KINASE","2.7.1.64"
"RXN-12123","RXN-12123","2.4.1.173"
"RXN-20729","RXN-20729","1.14.14.172"
"RXN-23467","RXN-23467","1.14.14"
"GDPKIN-RXN","GDPKIN","2.7.4.6"
"RXN-17693","RXN-17693","1.10.3.16"
"RXN-20222","RXN-20222","2.3.1.26"
"CHONDROITIN-4-SULFOTRANSFERASE-RXN","CHONDROITIN-4-SULFOTRANSFERASE","2.8.2.5"
"3.2.1.145-RXN","3.2.1.145","3.2.1.145"
"RXN-14664","RXN-14664","1.1.1"
"RXN-17228","RXN-17228","2.1.1.M12"
"RXN-11628","RXN-11628","2.7.4"
"RXN-14154","RXN-14154","1.3.99.17"
"RXN-22895","RXN-22895","3.2.1.62 // EC-3.2.1.45"
"RXN-19691","RXN-19691","1.14.14"
"RXN-22364","RXN-22364","2.3.1"
"2.4.2.26-RXN","2.4.2.26","2.4.2.26"
"ACETOLACTSYN-RXN","ACETOLACTSYN","2.2.1.6"
"THREONINE--TRNA-LIGASE-RXN","THREONINE--TRNA-LIGASE","6.1.1.3"
"RXN-13683","RXN-13683","3.5.1.114"
"RXN-16182","RXN-16182","1.14.14"
"RXN-8455","RXN-8455","2.4.1.286"
"RXN-10695","RXN-10695","6.2.1"
"RXN-13147","RXN-13147","2.4.1.301"
"RXN-21922","RXN-21922","2.4.1"
"1.3.99.19-RXN","1.3.99.19","1.3.99.19"
"R242-RXN","R242","1.3.1"
"RXN-18694","RXN-18694","2.8.1.12"
"RXN-21319","RXN-21319","1.1.1"
"LXULRU5P-RXN","LXULRU5P","5.1.3.22"
"RXN-18219","RXN-18219","3.2.1.147"
"3.5.1.79-RXN","3.5.1.79","3.5.1.79"
"RXN-12652","RXN-12652","1.14.15"
"RXN0-1321","RXN0-1321","2.4.2.29"
"N-ACETYLNEURAMINATE-SYNTHASE-RXN","N-ACETYLNEURAMINATE-SYNTHASE","2.5.1.56"
"RXN-12141","RXN-12141","3.3.2.10"
"RXN-20745","RXN-20745","1.3.1.122"
"RXN-23486","RXN-23486","5.3.99.3"
"GLUC1PADENYLTRANS-RXN","GLUC1PADENYLTRANS","2.7.7.27"
"RXN-17716","RXN-17716","1.3.1.112"
"CITSYN-RXN","CITSYN","2.3.3.3 // EC-2.3.3.16 // EC-2.3.3.1"
"3.2.1.164-RXN","3.2.1.164","3.2.1.164"
"RXN-14685","RXN-14685","2.6.1.27"
"RXN-17249","RXN-17249","2.4.1.M3"
"RXN-9437","RXN-9437","2.4.1"
"RXN-14173","RXN-14173","3.5.1.100"
"RXN-22912","RXN-22912","2.7.1.237"
"RXN-19707","RXN-19707","3.1.3.106"
"2.4.99.9-RXN","2.4.99.9","2.4.3.9"
"ACETYLPYRUVATE-HYDROLASE-RXN","ACETYLPYRUVATE-HYDROLASE","3.7.1.6"
"RXN-16741","RXN-16741","1.14.13"
"RXN-19183","RXN-19183","1.14.15.24"
"TOCOPHEROL-O-METHYLTRANSFERASE-RXN","TOCOPHEROL-O-METHYLTRANSFERASE","2.1.1.95"
"RXN-8479","RXN-8479","2.4.1"
"RXN-10711","RXN-10711","3.1.1.1"
"RXN-13169","RXN-13169","1.14.13"
"RXN-21938","RXN-21938","2.4.1"
"RXN-7913","RXN-7913","2.7.4.25 // EC-2.7.4.14 // EC-2.7.4.13"
"1.5.1.34-RXN","1.5.1.34","1.5.1.34"
"R310-RXN","R310","4.2.1.84"
"RXN-21336","RXN-21336","4.2.1.106"
"RXN66-321","RXN66-321","1.3.1.72"
"M-CRESOL-METHYLCATECHOL-RXN","M-CRESOL-METHYLCATECHOL","1.14.13.236"
"RXN-15705","RXN-15705","4.2.3.148"
"RXN-18238","RXN-18238","2.4.1.69"
"RXN-12673","RXN-12673","1.1.1.317"
"RXN-6261","RXN-6261","6.3.1.10"
"RXN0-2001","RXN0-2001","2.4.2.43"
"N6-METHYL-LYSINE-OXIDASE-RXN","N6-METHYL-LYSINE-OXIDASE","1.5.3.4"
"RXN-12159","RXN-12159","4.2.1"
"RXN-20764","RXN-20764","4.2.1.80"
"RXN-23504","RXN-23504","1.11.1.12"
"GLUCOSE-1-DEHYDROGENASE-RXN","GLUCOSE-1-DEHYDROGENASE","1.1.1.47"
"RXN-17734","RXN-17734","3.1.4.3"
"CORTISONE-BETA-REDUCTASE-RXN","CORTISONE-BETA-REDUCTASE","1.3.1.3"
"3.2.1.39-RXN","3.2.1.39","3.2.1.39"
"RXN-14701","RXN-14701","2.4.2.55"
"RXN-1727","RXN-1727","1.14.19.35"
"RXN-11669","RXN-11669","4.1.1.56"
"RXN-14192","RXN-14192","2.7.1.40"
"RXN-22942","RXN-22942","2.1.3"
"RXN-8960","RXN-8960","4.2.1.148"
"RXN-19731","RXN-19731","3.4.13.23"
"RXN-22421","RXN-22421","2.4.99"
"ACYLCARNITINE-HYDROLASE-RXN","ACYLCARNITINE-HYDROLASE","3.1.1.28"
"RXN-16764","RXN-16764","1.14.13"
"RXN-19203","RXN-19203","1.3.99"
"RXN-13734","RXN-13734","2.3.1.198"
"RXN-16219","RXN-16219","1.11.2.3"
"RXN-8496","RXN-8496","4.2.1.121"
"RXN-10738","RXN-10738","1.1.1"
"RXN-21954","RXN-21954","2.4.1"
"RXN-7952","RXN-7952","3.1.1.23 // EC-3.1.1.79"
"1.7.1.12-RXN","1.7.1.12","1.7.1.12"
"R365-RXN","R365","4.3.3"
"RXN-18735","RXN-18735","1.14.14.52"
"RXN66-350","RXN66-350","1.1.1.145"
"RXN-15727","RXN-15727","2.8.3.8"
"RXN-18254","RXN-18254","2.4.1.152"
"RXN18C3-110","RXN18C3-110","2.3.1"
"RXN-12694","RXN-12694","5.3.3.1"
"RXN-641","RXN-641","1.3.99.17"
"NANK-RXN","NANK","2.7.1.60"
"RXN-12182","RXN-12182","1.1.1"
"RXN-20788","RXN-20788","3.5.1.108"
"RXN-2424","RXN-2424","5.3.3"
"RXN-17762","RXN-17762","5.3.1.34"
"CYCLOHEXANE-12-DIOL-DEHYDROGENASE-RXN","CYCLOHEXANE-12-DIOL-DEHYDROGENASE","1.1.1.174"
"3.2.1.64-RXN","3.2.1.64","3.2.1.64"
"RXN-14719","RXN-14719","2.3.1.229"
"RXN-17293","RXN-17293","2.4.1.M4"
"RXN-22962","RXN-22962","1.1.1.432"
"RXN-8983","RXN-8983","2.1.1"
"ADENOSYLMETHIONINE-CYCLOTRANSFERASE-RXN","ADENOSYLMETHIONINE-CYCLOTRANSFERASE","2.5.1.4"
"2.5.1.64-RXN","2.5.1.64","2.2.1.9"
"RXN-16780","RXN-16780","2.4.1.295"
"TRANSALDOL-RXN","TRANSALDOL","2.2.1.2"
"RXN-13764","RXN-13764","4.2.3.138"
"RXN-16241","RXN-16241","2.3.1"
"RXN-8512","RXN-8512","4.2.3.132"
"RXN-10757","RXN-10757","3.5.1.101"
"RXN-21970","RXN-21970","2.3.1"
"1.97.1.2-RXN","1.97.1.2","1.97.1.2"
"R503-RXN","R503","3.7.1"
"RXN-18754","RXN-18754","4.2.1.M14"
"RXN-21371","RXN-21371","3.5.1.M21"
"RXN66-474","RXN66-474","6.2.1"
"MANNONDEHYDRAT-RXN","MANNONDEHYDRAT","4.2.1.8"
"RXN-15746","RXN-15746","6.3.2"
"RXN-18271","RXN-18271","2.4.1.92"
"RXN18C3-23","RXN18C3-23","1.14.13"
"RXN-12714","RXN-12714","1.3.99.4"
"RXN-6524","RXN-6524","1.14.20"
"NITRILE-HYDRATASE-RXN","NITRILE-HYDRATASE","4.2.1.84"
"RXN-12204","RXN-12204","2.7.9.5"
"RXN-2562","RXN-2562","2.1.1.95"
"GLUTATHIONE-REDUCT-NADPH-RXN","GLUTATHIONE-REDUCT-NADPH","1.8.1.7"
"RXN-17782","RXN-17782","2.3.1.16"
"RXN-20346","RXN-20346","4.2.1.134"
"CYSTEAMINE-DIOXYGENASE-RXN","CYSTEAMINE-DIOXYGENASE","1.13.11.19"
"3.2.1.82-RXN","3.2.1.82","3.2.1.82"
"RXN-11715","RXN-11715","2.4.2.1"
"RXN-14240","RXN-14240","1.11.1.7"
"RXN-19776","RXN-19776","1.11.1"
"RXN-22474","RXN-22474","3.5.1.90"
"AGARITINE-GAMMA-GLUTAMYLTRANSFERASE-RXN","AGARITINE-GAMMA-GLUTAMYLTRANSFERASE","2.3.2.9"
"2.6.1.37-RXN","2.6.1.37","2.6.1.37"
"RXN-16800","RXN-16800","1.14.12.23"
"RXN-9003","RXN-9003","2.5.1.39"
"TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN","TRNA-GUANINE-N7--METHYLTRANSFERASE","2.1.1.33"
"RXN-13785","RXN-13785","3.2.1.62"
"RXN-16257","RXN-16257","1.14.13"
"RXN-8528","RXN-8528","5.5.1.14"
"RXN-13248","RXN-13248","4.1.1"
"RXN-21986","RXN-21986","1.1.1.149"
"2-ACETOLACTATE-MUTASE-RXN","2-ACETOLACTATE-MUTASE","5.4.99.3"
"R602-RXN","R602","1.14.12"
"RXN-18773","RXN-18773","2.4.1.349"
"METHANOL-DEHYDROGENASE-RXN","METHANOL-DEHYDROGENASE","1.1.1.244"
"RXN-15765","RXN-15765","2.3.1"
"RXN-18290","RXN-18290","2.4.3.9"
"RXN18C3-32","RXN18C3-32","2.3.1"
"RXN-12734","RXN-12734","4.2.1.132"
"RXN-15257","RXN-15257","1.7.1"
"RXN-6622","RXN-6622","3.4.13.18"
"O-ACETYLHOMOSERINE-THIOL-LYASE-RXN","O-ACETYLHOMOSERINE-THIOL-LYASE","2.5.1.49"
"RXN-12229","RXN-12229","2.4.1.275"
"RXN-292","RXN-292","1.14.20"
"GLYCEROL-2-DEHYDROGENASE-NADP+-RXN","GLYCEROL-2-DEHYDROGENASE-NADP+","1.1.1.156"
"RXN-17798","RXN-17798","1.1.1.35"
"RXN-20362","RXN-20362","2.3.1.296"
"D-ALANINE-AMINOTRANSFERASE-RXN","D-ALANINE-AMINOTRANSFERASE","2.6.1.21"
"RXN-14763","RXN-14763","1.1.1"
"RXN-17339","RXN-17339","1.14.12.18"
"RXN-9546","RXN-9546","1.3.1"
"RXN-11732","RXN-11732","4.1.2.47"
"RXN-23006","RXN-23006","3.3.2.10"
"RXN-19800","RXN-19800","2.3.1.16"
"RXN-22494","RXN-22494","3.5.1.137"
"ALANINE-DEHYDROGENASE-RXN","ALANINE-DEHYDROGENASE","1.4.1.1"
"2.6.1.72-RXN","2.6.1.72","2.6.1.72"
"RXN-16819","RXN-16819","4.1.1.101"
"RXN-9020","RXN-9020","2.1.1"
"TSDOSALCAL-RXN","TSDOSALCAL","1.14.12"
"RXN-13806","RXN-13806","2.1.1.122"
"RXN-16275","RXN-16275","2.3.1.251"
"RXN-8545","RXN-8545","4.2.3"
"RXN-10811","RXN-10811","3.6.1.M6"
"RXN-13281","RXN-13281","4.1.99"
"RXN-22006","RXN-22006","1.1.1.64"
"2-HEXADECENAL-REDUCTASE-RXN","2-HEXADECENAL-REDUCTASE","1.3.1.27"
"RETICULINE-OXIDASE-RXN","RETICULINE-OXIDASE","1.21.3.3"
"RXN-18799","RXN-18799","1.14.99.22"
"RXN66-511","RXN66-511","1.13.11.34"
"RXN-15785","RXN-15785","1.1.1"
"RXN-18307","RXN-18307","2.4.1.149"
"RXN18C3-48","RXN18C3-48","2.3.1"
"RXN-12751","RXN-12751","2.3.1.16"
"RXN-15290","RXN-15290","3.2.1"
"RXN-6702","RXN-6702","1.8.1.16"
"OPHELINE-KINASE-RXN","OPHELINE-KINASE","2.7.3.7"
"RXN-12246","RXN-12246","3.1.1.110"
"RXN-20901","RXN-20901","2.5.1"
"GLYCINE-N-CHOLOYLTRANSFERASE-RXN","GLYCINE-N-CHOLOYLTRANSFERASE","2.3.1.65"
"RXN-17832","RXN-17832","3.4.21.4"
"RXN-20379","RXN-20379","2.3.1.199"
"RXN0-384","RXN0-384","3.6.1.M7 // EC-3.6.1.9"
"D-IDITOL-2-DEHYDROGENASE-RXN","D-IDITOL-2-DEHYDROGENASE","1.1.1.15"
"RXN-17359","RXN-17359","1.14.13.215"
"RXN-3163","RXN-3163","3.1.1"
"RXN-9580","RXN-9580","3.1.4.M4"
"RXN-11750","RXN-11750","4.2.1.134"
"RXN-14277","RXN-14277","2.3.1.16"
"RXN-23027","RXN-23027","1.13.11.33"
"RXN-11296","RXN-11296","2.3.2.17"
"RXN-19820","RXN-19820","6.3.2.54"
"ALDHDEHYDROG-RXN","ALDHDEHYDROG","1.2.1.3"
"2.7.1.154-RXN","2.7.1.154","2.7.1.154"
"RXN-16840","RXN-16840","2.4.1"
"RXN-19277","RXN-19277","2.5.1.M17"
"UDP-GLUCURONATE-4-EPIMERASE-RXN","UDP-GLUCURONATE-4-EPIMERASE","5.1.3.6"
"RXN-13822","RXN-13822","2.4.1.91"
"RXN-16298","RXN-16298","1.3.1.aa"
"RXN-8562","RXN-8562","4.2.3.75"
"RXN-10829","RXN-10829","2.3.3.18"
"RXN-13299","RXN-13299","1.1.1.330"
"2-OCTAPRENYLPHENOL-HYDROX-RXN","2-OCTAPRENYLPHENOL-HYDROX","1.14.13.240"
"RIBOFLAVINKIN-RXN","RIBOFLAVINKIN","2.7.1.26"
"RXN-18821","RXN-18821","2.4.1"
"RXN66-569","RXN66-569","1.14.16.1"
"RXN-15802","RXN-15802","1.14.99.52"
"RXN-18328","RXN-18328","1.8.1"
"RXN-8040","RXN-8040","5.5.1.18"
"RXN18C3-9","RXN18C3-9","2.4.1"
"RXN-12768","RXN-12768","2.6.1.106"
"RXN-15307","RXN-15307","6.2.1.43"
"RXN-7001","RXN-7001","2.4.2.1"
"OXALATE--COA-LIGASE-RXN","OXALATE--COA-LIGASE","6.2.1.8"
"RXN-12265","RXN-12265","3.1.1.87"
"GLYMALTOPHOSPHORYL-RXN","GLYMALTOPHOSPHORYL","2.4.1.1"
"RXN-17855","RXN-17855","2.3.1.256"
"RXN-20395","RXN-20395","2.3.1.298"
"RXN0-4341","RXN0-4341","2.7.1.167"
"RXN-14797","RXN-14797","4.2.1.119"
"RXN-17381","RXN-17381","1.14.11.52"
"RXN-3341","RXN-3341","1.1.1.343"
"RXN-9601","RXN-9601","1.14.19.6"
"RXN-11769","RXN-11769","4.1.3.14"
"RXN-23115","RXN-23115","2.1.1.M96"
"D-TRYPTOPHAN-N-ACETYLTRANSFERASE-RXN","D-TRYPTOPHAN-N-ACETYLTRANSFERASE","2.3.1.34"
"RXN-11318","RXN-11318","3.5.1.106"
"ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN","ALKYLGLYCERONE-PHOSPHATE-SYNTHASE","2.5.1.26"
"2.7.13.2-RXN","2.7.13.2","2.7.13.2"
"RXN-16858","RXN-16858","2.1.1"
"RXN-19293","RXN-19293","2.4.1"
"UDPSUGARHYDRO-RXN","UDPSUGARHYDRO","3.6.1.45"
"RXN-13847","RXN-13847","2.1.1"
"RXN-16324","RXN-16324","2.4.1.226"
"RXN-8581","RXN-8581","1.1.1.90"
"RXN-10847","RXN-10847","2.1.1.164"
"RXN-13316","RXN-13316","2.4.1"
"RXN-22041","RXN-22041","2.4.1"
"2.1.1.118-RXN","2.1.1.118","2.1.1.118"
"RXN-18840","RXN-18840","3.1.2.20"
"RXN-15824","RXN-15824","1.1.1.144"
"RXN-8074","RXN-8074","5.2.1"
"RXN-12789","RXN-12789","1.1.1.145"
"RXN-15327","RXN-15327","2.3.1"
"RXN-711","RXN-711","1.3.1.22"
"--LIMONENE-7-MONOOXYGENASE-RXN","--LIMONENE-7-MONOOXYGENASE","1.14.14.52"
"PANTOATE-4-DEHYDROGENASE-RXN","PANTOATE-4-DEHYDROGENASE","1.1.1.106"
"RXN-12293","RXN-12293","1.3.1"
"RXN-17879","RXN-17879","3.5.1.122"
"RXN-20411","RXN-20411","4.4.1"
"RXN-17400","RXN-17400","1.3.1.115"
"RXN-3542","RXN-3542","2.1.1.46"
"RXN-14338","RXN-14338","2.7.7.85"
"DCDPKIN-RXN","DCDPKIN","2.7.4.6"
"RXN-11341","RXN-11341","1.14.19.17"
"RXN-19881","RXN-19881","2.7.7"
"ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN","ALPHAALPHA-TREHALOSE-PHOSPHORYLASE","2.4.1.64"
"2.7.7.34-RXN","2.7.7.34","2.7.7.34"
"RXN-16885","RXN-16885","1.14.13"
"RXN-19310","RXN-19310","3.1.3.73"
"RXN-9081","RXN-9081","2.4.1.M79"
"URETHANASE-RXN","URETHANASE","3.5.1.75"
"RXN-8597","RXN-8597","4.2.3"
"RXN-10875","RXN-10875","2.8.2.M2"
"RXN-13339","RXN-13339","1.5.3.20"
"RXN-22057","RXN-22057","4.1.1"
"2.1.1.139-RXN","2.1.1.139","2.1.1.139"
"3.5.5.5-RXN","3.5.5.5","3.5.5.5"
"RXN-10011","RXN-10011","3.1.3"
"RXN8J2-136","RXN8J2-136","1.1.1.361"
"RXN-15855","RXN-15855","1.2.1.29"
"RXN-18370","RXN-18370","2.3.1.21"
"RXN-8092","RXN-8092","1.2.3.1"
"RXN1F-165","RXN1F-165","1.14.11"
"RXN-12812","RXN-12812","2.6.1.34"
"RXN-15350","RXN-15350","2.4.1"
"RXN-21508","RXN-21508","2.5.1.89"
"RXN-7186","RXN-7186","2.7.1.140"
"1.1.1.151-RXN","1.1.1.151","1.1.1.151"
"PEPTIDE-TRYPTOPHAN-23-DIOXYGENASE-RXN","PEPTIDE-TRYPTOPHAN-23-DIOXYGENASE","1.13.11.26"
"RXN-20974","RXN-20974","2.4.1"
"GUANOSINE-DEAMINASE-RXN","GUANOSINE-DEAMINASE","3.5.4.15"
"RXN0-5122","RXN0-5122","2.4.99.25"
"RXN-14828","RXN-14828","2.1.1.292"
"RXN-17421","RXN-17421","1.14.13.M17"
"RXN-3642","RXN-3642","2.1.1.150"
"RXN-9643","RXN-9643","2.4.1.63"
"RXN-11805","RXN-11805","2.4.1"
"RXN-14361","RXN-14361","2.4.1.17"
"RXN-23148","RXN-23148","2.1.1"
"DEOXYADENYLATE-KINASE-RXN","DEOXYADENYLATE-KINASE","2.7.4.13 // EC-2.7.4.11"
"RXN-11359","RXN-11359","2.1.1.276"
"RXN-19907","RXN-19907","2.1.1.128"
"2.7.8.15-RXN","2.7.8.15","2.7.8.15"
"RXN-19328","RXN-19328","3.3.2.9"
"VALINE-DECARBOXYLASE-RXN","VALINE-DECARBOXYLASE","4.1.1.14"
"RXN-13886","RXN-13886","2.4.1"
"RXN-16394","RXN-16394","1.14.14.80"
"RXN-22585","RXN-22585","4.2.1.178"
"RXN-8619","RXN-8619","1.14.13"
"RXN-10891","RXN-10891","1.14.13.82"
"RXN-13374","RXN-13374","1.13.11.63"
"RXN-22072","RXN-22072","2.4.99"
"2.1.1.38-RXN","2.1.1.38","2.1.1.38"
"3.7.1.8-RXN","3.7.1.8","3.7.1.8"
"RXN-10038","RXN-10038","2.7.1.164"
"RXN-18889","RXN-18889","4.2.3.184"
"RXNMETA-12671","RXNMETA-12671","3.3.2.12"
"RXN-8142","RXN-8142","1.14.19.54"
"RXN1F-775","RXN1F-775","2.4.1.115"
"RXN-12835","RXN-12835","4.2.3"
"RXN-15366","RXN-15366","2.8.3.25"
"1.1.1.210-RXN","1.1.1.210","1.1.1.210"
"PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN","PHENOL-BETA-GLUCOSYLTRANSFERASE","2.4.1.35"
"RXN-12337","RXN-12337","4.2.1.123"
"RXN-20995","RXN-20995","1.3.1.34"
"HAMAMELOSE-KINASE-RXN","HAMAMELOSE-KINASE","2.7.1.102"
"RXN0-5185","RXN0-5185","3.1.3"
"RXN-17440","RXN-17440","2.5.1.bl"
"RXN-3945","RXN-3945","4.1.1.7"
"RXN-969","RXN-969","1.1.3.15"
"RXN-11827","RXN-11827","1.1.1.15"
"RXN-14379","RXN-14379","2.7.8.43"
"RXN-20449","RXN-20449","2.8.2"
"DGTPTRIPHYDRO-RXN","DGTPTRIPHYDRO","3.1.5.1"
"ANHYDROTETRACYCLINE-MONOOXYGENASE-RXN","ANHYDROTETRACYCLINE-MONOOXYGENASE","1.14.13.38"
"2.8.2.23-RXN","2.8.2.23","2.8.2.23"
"RXN-16939","RXN-16939","2.4.1"
"RXN-9148","RXN-9148","2.4.1.338"
"XYLISOM-RXN","XYLISOM","5.3.1.5"
"RXN-13903","RXN-13903","2.1.1"
"RXN-16411","RXN-16411","1.3.99"
"RXN-8641","RXN-8641","1.1.1.77"
"RXN-10907","RXN-10907","1.4.3.4"
"RXN-2209","RXN-2209","2.8.2.38"
"2.1.1.83-RXN","2.1.1.83","2.1.1.83"
"4-COUMARATE--COA-LIGASE-RXN","4-COUMARATE--COA-LIGASE","6.2.1.12"
"RXN-18908","RXN-18908","3.2.1.207"
"RXNQT-4193","RXNQT-4193","2.3.1.75"
"RXN-15931","RXN-15931","6.3.2"
"RXN-8171","RXN-8171","2.3.1.172"
"RXN1G-1634","RXN1G-1634","2.3.1"
"RXN-15383","RXN-15383","1.14.14"
"RXN-7401","RXN-7401","2.7.7.37"
"1.1.1.253-RXN","1.1.1.253","1.5.1.33"
"PHOSACETYLTRANS-RXN","PHOSACETYLTRANS","2.3.1.8"
"RXN-12358","RXN-12358","3.6.1"
"HISTIDINE-DECARBOXYLASE-RXN","HISTIDINE-DECARBOXYLASE","4.1.1.22"
"RXN-17950","RXN-17950","1.5.3.23"
"RXN-14864","RXN-14864","4.1.1"
"RXN-4210","RXN-4210","1.3.1.21"
"RXN-11851","RXN-11851","1.14.14"
"RXN-14405","RXN-14405","2.7.8.38"
"RXN-20507","RXN-20507","3.5.1.60"
"RXN-23187","RXN-23187","2.3.1"
"RXN-11855","RXN-11855","2.1.1.204"
"RXN-20510","RXN-20510","2.3.1.M82"
"RXN-23190","RXN-23190","3.1.3"
"DIENELACHYDRO-RXN","DIENELACHYDRO","3.1.1.45"
"RXN-114","RXN-114","1.14.20"
"ARGINASE-RXN","ARGINASE","3.5.3.1"
"24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN","24-DICHLOROPHENOL-6-MONOOXYGENASE","1.14.13.20"
"RXN-16963","RXN-16963","4.2.99.23"
"RXN-13922","RXN-13922","2.1.1"
"RXN-16437","RXN-16437","1.14.13"
"RXN-22629","RXN-22629","2.4.2.5"
"RXN-8673","RXN-8673","1.4.3.19"
"RXN-13435","RXN-13435","3.1.2.2"
"RXN-19386","RXN-19386","3.1.1.112"
"2.3.1.106-RXN","2.3.1.106","2.3.1.106"
"4.1.1.32-RXN","4.1.1.32","4.1.1.32"
"RXN-10085","RXN-10085","2.8.3.6"
"RXN-18930","RXN-18930","3.2.1.113"
"RXNQT-4330","RXNQT-4330","2.8.2.38"
"RXN-15951","RXN-15951","6.3.2"
"RXN-8197","RXN-8197","1.14.14.83"
"RXN1G01-65","RXN1G01-65","2.1.1.79"
"RXN-15408","RXN-15408","2.1.1"
"RXN-7541","RXN-7541","2.5.1.53"
"1.1.1.285-RXN","1.1.1.285","1.1.1.285"
"PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN","PHOSPHOENOLPYRUVATE-PHOSPHATASE","3.1.3.60"
"RXN-12383","RXN-12383","2.3.1"
"RXN-21049","RXN-21049","3.2.1.164"
"HYDROGEN-SULFIDE-S-ACETYLTRANSFERASE-RXN","HYDROGEN-SULFIDE-S-ACETYLTRANSFERASE","2.3.1.10"
"RXN0-5298","RXN0-5298","5.1.3.29"
"RXN-4304","RXN-4304","1.14.14"
"RXN-9743","RXN-9743","2.4.1"
"RXN-11879","RXN-11879","2.7.8.34"
"RXN-14426","RXN-14426","1.14.20"
"RXN-20526","RXN-20526","2.7.1.67"
"RXN-23219","RXN-23219","2.4.1.182"
"DIHYDROOROT-RXN","DIHYDROOROT","3.5.2.3"
"RXN-17478","RXN-17478","4.2.1.165"
"ARYL-ALDEHYDE-OXIDASE-RXN","ARYL-ALDEHYDE-OXIDASE","1.2.3.9"
"3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN","3-HYDROXBUTYRYL-COA-DEHYDRATASE","4.2.1.55"
"RXN-16460","RXN-16460","1.14.14"
